0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119
0.0	0.0	0.0	13.2	7.1	4.5	7.9	4.5	10.0	58.4	52.7	4.5	0.0	0.0	0.0	7.9	4.8	5.5	5.6	7.7	5.6	10.2	4.5	10.2	4.5	8.0	4.5	14.1	14.0	15.6	156.5	14.6	5.4	0.0	0.0	0.0	10.1	9.0	5.6	5.6	11.3	7.8	6.9	8.3	7.6	11.0	10.3	5.6	6.5	6.8	7.3	8.8	7.9	6.8	6.8	13.5	4.5	7.8	6.6	4.5	13.8	11.0	5.5	8.2	6.7	6.6	7.8	9.4	8.7	4.7	6.9	5.6	0.0	0.0	0.0	22.9	24.4	12.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3	6.9	11.4	12.6	7.6	9.8	12.9	12.4	13.0	5.6	12.0	9.4	0.0	0.0	0.0	6.7	8.2	7.1	7.6	4.7	6.2	0.0	0.0	0.0	19.1	18.1	9.8
0.0	0.0	0.0	5.5	5.6	7.9	11.1	7.7	11.8	111.4	48.5	0.0	0.0	0.0	0.0	7.8	4.5	8.8	4.5	7.9	7.8	7.9	11.3	6.8	6.6	7.5	8.8	23.4	22.0	19.3	6.7	6.8	11.1	0.0	0.0	0.0	8.2	6.7	8.6	8.8	13.5	11.5	13.6	5.5	5.6	7.8	8.7	6.8	12.0	11.4	9.7	5.6	8.8	5.6	11.3	7.9	7.9	5.5	6.6	6.8	7.7	10.9	12.8	7.4	9.8	8.4	11.9	11.0	13.2	5.7	10.5	4.5	0.0	0.0	0.0	19.8	11.3	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	9.7	116.4	12.7	11.8	11.3	5.6	10.2	6.8	10.8	7.8	11.8	0.0	0.0	0.0	10.1	12.4	12.7	7.8	6.6	6.4	0.0	0.0	0.0	18.7	18.3	5.6
0.0	0.0	0.0	13.1	7.3	5.6	4.5	5.8	6.8	30.5	32.6	0.0	0.0	0.0	0.0	6.8	4.5	8.7	8.6	0.0	4.7	4.5	7.9	4.5	6.2	6.9	5.9	20.1	21.1	20.0	5.8	5.3	6.4	0.0	0.0	0.0	11.5	8.6	9.1	11.9	93.0	5.6	4.7	12.1	10.1	10.3	9.1	11.3	9.5	10.6	5.8	7.0	13.5	11.3	5.8	7.9	8.0	10.8	5.5	9.7	8.9	10.1	9.8	10.3	12.4	6.9	8.9	11.0	10.7	9.4	6.2	11.7	0.0	0.0	0.0	14.4	22.4	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	11.8	11.1	12.3	10.8	11.8	5.6	7.6	8.9	8.8	13.2	8.8	0.0	0.0	0.0	7.8	7.6	10.5	5.6	5.7	4.5	0.0	0.0	0.0	14.9	14.7	4.7
0.0	0.0	0.0	5.6	16.4	4.5	11.5	4.5	10.6	23.6	30.1	0.0	0.0	0.0	0.0	6.4	4.5	15.6	10.6	0.0	5.8	4.5	7.9	4.5	7.5	10.6	7.5	15.1	18.8	16.9	6.7	6.4	6.8	0.0	0.0	0.0	7.6	9.3	9.2	4.5	4.5	11.3	16.1	0.0	4.5	12.6	14.6	6.8	13.1	13.9	7.5	8.8	10.1	10.2	4.7	6.7	39.3	10.9	11.1	11.5	9.9	10.4	9.4	10.9	8.4	9.8	10.7	7.6	11.3	5.8	9.5	5.5	0.0	0.0	0.0	12.9	8.5	4.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	4.5	16.4	13.9	12.9	9.7	9.8	7.0	7.7	13.1	7.7	11.6	0.0	0.0	0.0	7.7	5.6	7.9	4.5	7.9	8.4	0.0	0.0	0.0	10.2	20.5	6.8
0.0	0.0	0.0	5.6	7.3	5.6	8.1	0.0	6.6	12.0	66.9	0.0	0.0	0.0	0.0	5.7	6.4	5.6	10.6	0.0	0.0	4.5	6.8	5.6	10.1	0.0	10.0	13.6	7.7	17.5	7.5	4.5	4.5	0.0	0.0	0.0	13.4	7.6	7.2	4.5	10.2	8.5	0.0	0.0	0.0	9.2	7.3	4.8	9.0	7.1	12.5	10.3	5.6	6.8	6.6	17.9	29.0	9.6	6.6	11.0	8.4	9.5	11.0	8.6	7.4	8.6	13.5	12.7	7.6	5.6	7.7	8.2	0.0	0.0	0.0	19.1	14.9	19.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	10.0	7.3	9.2	11.5	13.8	9.4	5.5	6.7	8.5	8.7	8.8	0.0	0.0	0.0	5.6	4.5	6.6	8.9	7.9	7.7	0.0	0.0	0.0	14.5	15.9	4.5
0.0	0.0	0.0	4.5	10.1	9.1	0.0	0.0	11.6	6.8	19.3	0.0	0.0	0.0	0.0	9.0	4.5	7.8	0.0	0.0	0.0	4.5	5.7	6.8	0.0	0.0	0.0	17.1	21.6	7.3	4.5	7.3	5.5	0.0	0.0	0.0	7.7	13.5	12.3	6.8	5.7	10.5	0.0	0.0	0.0	11.3	8.8	5.6	8.9	7.8	11.1	4.5	12.6	9.5	9.5	7.8	4.5	6.6	12.7	8.7	10.0	11.2	9.1	11.1	10.0	7.0	7.7	11.4	9.8	13.5	7.5	6.7	0.0	0.0	0.0	5.6	16.3	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	10.9	6.2	10.8	12.8	11.0	10.7	7.9	11.8	10.0	8.5	7.7	0.0	0.0	0.0	7.7	8.1	7.9	4.5	9.9	10.3	0.0	0.0	0.0	21.3	19.1	19.2
0.0	0.0	0.0	4.5	6.6	5.6	0.0	0.0	0.0	19.7	6.8	0.0	0.0	0.0	0.0	7.8	4.5	6.8	0.0	0.0	0.0	11.0	9.0	6.8	0.0	0.0	0.0	19.9	19.9	21.4	4.5	4.7	6.6	0.0	0.0	0.0	5.6	6.4	7.0	10.1	12.6	6.8	0.0	0.0	0.0	10.2	8.7	11.3	9.9	7.2	6.6	6.8	7.9	7.6	4.5	8.8	4.5	7.8	10.8	0.0	12.1	0.0	0.0	12.6	11.2	6.6	11.7	12.1	7.8	8.8	5.6	4.5	0.0	0.0	0.0	17.3	18.4	14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	7.5	6.8	11.1	8.5	12.8	9.7	10.0	10.5	14.3	10.3	7.6	0.0	0.0	0.0	7.0	6.0	6.8	8.3	9.8	6.6	0.0	0.0	0.0	7.7	5.6	17.9
0.0	0.0	0.0	0.0	14.1	10.4	0.0	0.0	0.0	5.6	18.3	0.0	0.0	0.0	0.0	0.0	5.6	6.5	0.0	0.0	0.0	9.8	9.0	4.5	0.0	0.0	0.0	0.0	0.0	19.6	7.7	5.5	6.6	0.0	0.0	0.0	6.6	6.7	5.9	8.5	7.1	7.5	0.0	0.0	0.0	10.8	8.8	5.6	10.2	9.7	4.5	10.3	5.8	4.5	4.7	7.2	4.5	7.3	7.8	0.0	0.0	0.0	0.0	6.1	4.5	12.5	13.0	7.7	11.1	8.9	9.6	5.6	0.0	0.0	0.0	20.7	19.3	15.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8	6.7	4.5	16.5	14.0	7.8	9.9	12.6	5.6	12.8	6.3	8.4	0.0	0.0	0.0	7.3	6.7	7.9	9.4	8.3	9.6	0.0	0.0	0.0	18.2	16.8	15.7
0.0	0.0	0.0	0.0	5.6	6.1	0.0	0.0	0.0	5.6	17.0	0.0	0.0	0.0	0.0	0.0	4.5	4.7	0.0	0.0	0.0	5.5	4.5	5.7	0.0	0.0	0.0	0.0	0.0	0.0	4.8	7.7	6.2	0.0	0.0	0.0	5.8	5.6	5.6	6.7	5.6	8.3	0.0	0.0	0.0	9.0	8.9	10.3	12.9	9.2	7.0	12.3	4.5	8.5	4.5	5.6	4.5	4.5	0.0	0.0	0.0	0.0	0.0	9.7	11.2	10.6	11.8	12.1	10.1	7.8	6.8	9.6	0.0	0.0	0.0	21.3	27.4	14.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	15.2	10.7	14.4	13.0	7.6	7.0	5.9	7.8	7.0	8.0	10.8	0.0	0.0	0.0	5.5	6.5	5.6	8.0	7.7	9.2	0.0	0.0	0.0	0.0	21.1	14.9
0.0	0.0	0.0	0.0	9.0	4.5	0.0	0.0	0.0	18.2	0.0	0.0	0.0	0.0	0.0	0.0	9.8	12.0	0.0	0.0	0.0	11.3	4.5	4.5	0.0	0.0	0.0	0.0	0.0	0.0	5.9	6.8	11.0	0.0	0.0	0.0	0.0	0.0	0.0	8.9	8.8	6.7	0.0	0.0	0.0	11.2	11.5	8.5	7.6	6.7	9.8	5.6	8.9	5.6	6.7	4.5	5.6	0.0	0.0	0.0	0.0	0.0	0.0	6.8	0.0	9.1	10.7	13.1	11.7	0.0	0.0	7.9	0.0	0.0	0.0	19.1	22.8	18.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8	6.7	8.2	11.1	9.8	7.7	6.8	7.8	0.0	5.4	7.5	12.2	0.0	0.0	0.0	5.6	5.6	7.1	7.4	10.5	0.0	0.0	0.0	0.0	0.0	0.0	18.8
